geoid,geoid20,year,total_pop
1400000US06037120103,6037120103,2022,3030
1400000US06037120104,6037120104,2022,2375
1400000US06037120105,6037120105,2022,2691
1400000US06037120106,6037120106,2022,4443
1400000US06037120107,6037120107,2022,4044
1400000US06037120108,6037120108,2022,4511
1400000US06037120300,6037120300,2022,5299
1400000US06037120400,6037120400,2022,6170
1400000US06037121010,6037121010,2022,5277
1400000US06037121020,6037121020,2022,3661
1400000US06037121101,6037121101,2022,3191
1400000US06037121102,6037121102,2022,2271
1400000US06037121210,6037121210,2022,2922
1400000US06037121221,6037121221,2022,2237
1400000US06037121222,6037121222,2022,4872
1400000US06037121600,6037121600,2022,2635
1400000US06037121801,6037121801,2022,3916
1400000US06037121802,6037121802,2022,3026
1400000US06037121900,6037121900,2022,3314
1400000US06037122000,6037122000,2022,5034
1400000US06037122120,6037122120,2022,4692
1400000US06037122121,6037122121,2022,2853
1400000US06037122122,6037122122,2022,2507
1400000US06037122200,6037122200,2022,3884
1400000US06037122410,6037122410,2022,3949
1400000US06037122420,6037122420,2022,5113
1400000US06037123010,6037123010,2022,3948
1400000US06037123020,6037123020,2022,2634
1400000US06037123103,6037123103,2022,3917
1400000US06037123104,6037123104,2022,4393
1400000US06037123203,6037123203,2022,2982
1400000US06037123204,6037123204,2022,3399
1400000US06037123205,6037123205,2022,2959
1400000US06037123206,6037123206,2022,2371
1400000US06037123301,6037123301,2022,4068
1400000US06037123303,6037123303,2022,3029
1400000US06037123304,6037123304,2022,4499
1400000US06037123410,6037123410,2022,3503
1400000US06037123420,6037123420,2022,4401
1400000US06037123510,6037123510,2022,4911
1400000US06037123520,6037123520,2022,2619
1400000US06037123601,6037123601,2022,5145
1400000US06037123602,6037123602,2022,3190
1400000US06037123700,6037123700,2022,4214
1400000US06037123800,6037123800,2022,5696
1400000US06037123901,6037123901,2022,3986
1400000US06037123902,6037123902,2022,2668
1400000US06037124000,6037124000,2022,4432
1400000US06037124102,6037124102,2022,3650
1400000US06037124103,6037124103,2022,1811
1400000US06037124104,6037124104,2022,2764
1400000US06037124105,6037124105,2022,2250
1400000US06037124201,6037124201,2022,3837
1400000US06037124203,6037124203,2022,2003
1400000US06037124204,6037124204,2022,2302
1400000US06037124300,6037124300,2022,2964
1400000US06037124400,6037124400,2022,4582
1400000US06037124500,6037124500,2022,2695
1400000US06037124600,6037124600,2022,2608
1400000US06037124700,6037124700,2022,5409
1400000US06037124902,6037124902,2022,3301
1400000US06037124903,6037124903,2022,3744
1400000US06037125101,6037125101,2022,3978
1400000US06037125102,6037125102,2022,1948
1400000US06037125200,6037125200,2022,3889
1400000US06037125310,6037125310,2022,3598
1400000US06037125321,6037125321,2022,2761
1400000US06037125322,6037125322,2022,1981
1400000US06037125402,6037125402,2022,4403
1400000US06037125403,6037125403,2022,2571
1400000US06037125404,6037125404,2022,2886
1400000US06037125501,6037125501,2022,2871
1400000US06037125502,6037125502,2022,3624
1400000US06037125600,6037125600,2022,2941
1400000US06037127102,6037127102,2022,4956
1400000US06037127103,6037127103,2022,3360
1400000US06037127104,6037127104,2022,4385
1400000US06037127210,6037127210,2022,5630
1400000US06037127220,6037127220,2022,5219
1400000US06037127300,6037127300,2022,3942
1400000US06037127400,6037127400,2022,5855
1400000US06037127520,6037127520,2022,4722
1400000US06037127603,6037127603,2022,2791
1400000US06037127604,6037127604,2022,3141
1400000US06037127605,6037127605,2022,3734
1400000US06037127606,6037127606,2022,3110
1400000US06037127711,6037127711,2022,3207
1400000US06037127712,6037127712,2022,3859
1400000US06037127803,6037127803,2022,5068
1400000US06037127804,6037127804,2022,4728
1400000US06037127805,6037127805,2022,3518
1400000US06037127806,6037127806,2022,3576
1400000US06037127910,6037127910,2022,4908
1400000US06037127920,6037127920,2022,4622
1400000US06037128101,6037128101,2022,2890
1400000US06037128102,6037128102,2022,4750
1400000US06037128210,6037128210,2022,5357
1400000US06037128220,6037128220,2022,2832
1400000US06037128302,6037128302,2022,4790
