geoid,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000US06037117302,6037117302,2023,4746,5,10.535188
1400000US06037117303,6037117303,2023,4510,3,6.6518846
1400000US06037117404,6037117404,2023,5466,2,3.6589828
1400000US06037117405,6037117405,2023,3406,4,11.743981
1400000US06037117407,6037117407,2023,3702,1,2.7012427
1400000US06037117408,6037117408,2023,2592,1,3.8580246
1400000US06037117510,6037117510,2023,3878,1,2.5786488
1400000US06037117520,6037117520,2023,4322,2,4.6274872
1400000US06037117530,6037117530,2023,6195,2,3.22841
1400000US06037119004,6037119004,2023,3398,2,5.8858151
1400000US06037119201,6037119201,2023,4325,2,4.6242776
1400000US06037119202,6037119202,2023,4895,4,8.1716032
1400000US06037119310,6037119310,2023,3893,1,2.5687132
1400000US06037119341,6037119341,2023,2670,1,3.7453184
1400000US06037119801,6037119801,2023,2608,1,3.8343558
1400000US06037119900,6037119900,2023,4837,1,2.0673971
1400000US06037120020,6037120020,2023,3945,2,5.0697083
1400000US06037120030,6037120030,2023,2448,4,16.339869
1400000US06037120104,6037120104,2023,2308,5,21.663778
1400000US06037120105,6037120105,2023,2645,6,22.684311
1400000US06037120107,6037120107,2023,4222,2,4.7370915
1400000US06037120300,6037120300,2023,4982,2,4.014452
1400000US06037120400,6037120400,2023,6155,7,11.372868
1400000US06037121010,6037121010,2023,5243,5,9.5365248
1400000US06037121020,6037121020,2023,3626,1,2.7578599
1400000US06037121101,6037121101,2023,3088,3,9.7150259
1400000US06037121102,6037121102,2023,2273,5,21.99736
1400000US06037121210,6037121210,2023,3109,2,6.4329367
1400000US06037121802,6037121802,2023,3017,5,16.572754
1400000US06037121900,6037121900,2023,3548,3,8.4554682
1400000US06037122000,6037122000,2023,4940,3,6.0728745
1400000US06037122120,6037122120,2023,5342,2,3.743916
1400000US06037122122,6037122122,2023,2556,4,15.649452
1400000US06037122410,6037122410,2023,3615,1,2.7662518
1400000US06037122420,6037122420,2023,5077,4,7.8786683
1400000US06037123010,6037123010,2023,4112,2,4.8638134
1400000US06037123103,6037123103,2023,3997,10,25.018764
1400000US06037123104,6037123104,2023,4565,3,6.5717416
1400000US06037123203,6037123203,2023,3089,3,9.7118807
1400000US06037123204,6037123204,2023,3281,1,3.0478513
1400000US06037123206,6037123206,2023,2289,2,8.7374401
1400000US06037123301,6037123301,2023,4302,6,13.947001
1400000US06037123303,6037123303,2023,2996,6,20.026703
1400000US06037123304,6037123304,2023,4467,3,6.7159166
1400000US06037123410,6037123410,2023,3826,2,5.2273917
1400000US06037123420,6037123420,2023,4731,7,14.796026
1400000US06037123510,6037123510,2023,5079,5,9.8444576
1400000US06037123520,6037123520,2023,2700,2,7.4074073
1400000US06037123602,6037123602,2023,3412,1,2.9308324
1400000US06037123700,6037123700,2023,4474,2,4.4702725
1400000US06037123800,6037123800,2023,5753,3,5.2146707
1400000US06037123901,6037123901,2023,4158,4,9.6200094
1400000US06037124000,6037124000,2023,4836,5,10.339123
1400000US06037124102,6037124102,2023,3597,3,8.3402834
1400000US06037124103,6037124103,2023,1956,2,10.224949
1400000US06037124104,6037124104,2023,2596,2,7.7041602
1400000US06037124105,6037124105,2023,2428,3,12.355848
1400000US06037124201,6037124201,2023,3496,3,8.5812359
1400000US06037124204,6037124204,2023,2104,2,9.505703
1400000US06037124300,6037124300,2023,2894,1,3.455425
1400000US06037124400,6037124400,2023,4695,2,4.259851
1400000US06037124500,6037124500,2023,2813,2,7.1098471
1400000US06037124600,6037124600,2023,2718,1,3.6791759
1400000US06037124700,6037124700,2023,5323,5,9.393199
1400000US06037124902,6037124902,2023,3294,2,6.0716453
1400000US06037124903,6037124903,2023,3979,3,7.5395827
1400000US06037125101,6037125101,2023,3819,1,2.6184864
1400000US06037125102,6037125102,2023,1838,1,5.4406962
1400000US06037125200,6037125200,2023,3757,3,7.9850945
1400000US06037125310,6037125310,2023,3525,5,14.184397
1400000US06037125322,6037125322,2023,1979,4,20.212229
1400000US06037125402,6037125402,2023,4520,1,2.2123895
1400000US06037125403,6037125403,2023,2344,1,4.2662115
1400000US06037125404,6037125404,2023,2696,1,3.7091987
