geoid,geoid20,year,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct
1400000US06037109603,6037109603,2022,3900,540,13.846154,1246,31.948717
1400000US06037109604,6037109604,2022,2900,248,8.5517244,546,18.827587
1400000US06037109700,6037109700,2022,4273,335,7.8399253,931,21.787971
1400000US06037109800,6037109800,2022,4569,440,9.6301165,690,15.101773
1400000US06037111100,6037111100,2022,3075,159,5.1707315,555,18.04878
1400000US06037111201,6037111201,2022,3251,218,6.7056289,462,14.211012
1400000US06037111202,6037111202,2022,5481,540,9.8522167,1227,22.386425
1400000US06037111204,6037111204,2022,5600,98,1.75,497,8.875
1400000US06037111205,6037111205,2022,3879,305,7.8628511,602,15.519464
1400000US06037111206,6037111206,2022,4354,253,5.8107486,369,8.4749651
1400000US06037111302,6037111302,2022,4763,514,10.791518,1461,30.673944
1400000US06037111303,6037111303,2022,4685,340,7.2572041,1576,33.639275
1400000US06037111304,6037111304,2022,3106,959,30.875725,1404,45.202835
1400000US06037111401,6037111401,2022,2293,76,3.3144352,355,15.481901
1400000US06037111402,6037111402,2022,6041,985,16.305248,2907,48.121174
1400000US06037113101,6037113101,2022,3524,364,10.329171,656,18.61521
1400000US06037113102,6037113102,2022,2773,142,5.1208076,256,9.2318792
1400000US06037113211,6037113211,2022,4213,253,6.0052218,658,15.618324
1400000US06037113212,6037113212,2022,2771,87,3.1396608,597,21.544569
1400000US06037113213,6037113213,2022,4955,216,4.3592329,581,11.72553
1400000US06037113231,6037113231,2022,2160,135,6.25,267,12.361111
1400000US06037113232,6037113232,2022,4470,377,8.4340048,680,15.212528
1400000US06037113234,6037113234,2022,5653,887,15.690784,1596,28.232798
1400000US06037113235,6037113235,2022,1727,75,4.3427911,230,13.317892
1400000US06037113237,6037113237,2022,4725,303,6.4126983,776,16.423281
1400000US06037113238,6037113238,2022,4547,589,12.953596,1718,37.783154
1400000US06037113239,6037113239,2022,2343,330,14.084507,1174,50.106701
1400000US06037113301,6037113301,2022,4826,581,12.038956,966,20.016577
1400000US06037113303,6037113303,2022,3729,255,6.8382945,492,13.193886
1400000US06037113322,6037113322,2022,4562,146,3.2003508,955,20.933802
1400000US06037113323,6037113323,2022,3619,311,8.5935345,724,20.005526
1400000US06037113324,6037113324,2022,2771,170,6.1349692,596,21.50848
1400000US06037113423,6037113423,2022,3077,503,16.347092,876,28.469288
1400000US06037113424,6037113424,2022,3319,273,8.2253695,914,27.538416
1400000US06037113425,6037113425,2022,4499,371,8.2462769,1817,40.386753
1400000US06037113426,6037113426,2022,2322,496,21.360895,799,34.409992
1400000US06037113427,6037113427,2022,2328,337,14.475945,870,37.371136
1400000US06037113428,6037113428,2022,4198,423,10.076227,695,16.555502
1400000US06037115101,6037115101,2022,4655,517,11.106338,784,16.842106
1400000US06037115103,6037115103,2022,26,4,15.384615,26,100
1400000US06037115104,6037115104,2022,4301,1073,24.947687,1602,37.24715
1400000US06037115202,6037115202,2022,5988,1272,21.242485,2428,40.547764
1400000US06037115203,6037115203,2022,2236,389,17.397139,693,30.992844
1400000US06037115204,6037115204,2022,3771,355,9.413949,1008,26.73031
1400000US06037115301,6037115301,2022,4466,334,7.4787283,768,17.196596
1400000US06037115302,6037115302,2022,3912,699,17.868097,1970,50.357872
1400000US06037115401,6037115401,2022,5821,951,16.337399,2753,47.294281
1400000US06037115403,6037115403,2022,3477,870,25.02157,1282,36.870865
1400000US06037115404,6037115404,2022,2813,355,12.619979,807,28.688232
1400000US06037117101,6037117101,2022,5252,640,12.185834,1361,25.913937
1400000US06037117102,6037117102,2022,2481,269,10.842402,585,23.579203
1400000US06037117201,6037117201,2022,4098,1046,25.524647,1800,43.923866
1400000US06037117202,6037117202,2022,2807,251,8.9419308,552,19.665123
1400000US06037117301,6037117301,2022,3632,152,4.1850219,788,21.696035
1400000US06037117302,6037117302,2022,4953,305,6.1578841,542,10.942863
1400000US06037117303,6037117303,2022,4423,524,11.847162,800,18.087271
1400000US06037117404,6037117404,2022,5542,445,8.0295925,960,17.322266
1400000US06037117405,6037117405,2022,3137,1133,36.11731,2127,67.803635
1400000US06037117407,6037117407,2022,3559,1005,28.23827,2339,65.720711
1400000US06037117408,6037117408,2022,2404,948,39.434277,1533,63.768719
1400000US06037117510,6037117510,2022,3776,610,16.154661,2002,53.01907
1400000US06037117520,6037117520,2022,4570,1714,37.50547,3002,65.689278
1400000US06037117530,6037117530,2022,5963,1672,28.039577,2630,44.105316
1400000US06037119001,6037119001,2022,4462,403,9.0318241,988,22.142536
1400000US06037119003,6037119003,2022,3830,280,7.3107052,1374,35.874672
1400000US06037119004,6037119004,2022,2768,157,5.6719651,874,31.575144
1400000US06037119201,6037119201,2022,4387,664,15.135628,1321,30.111694
1400000US06037119202,6037119202,2022,4766,962,20.184641,1877,39.383129
1400000US06037119310,6037119310,2022,3779,453,11.987298,1277,33.792007
1400000US06037119320,6037119320,2022,4475,336,7.5083799,1728,38.614525
1400000US06037119340,6037119340,2022,3891,1272,32.690826,2411,61.963505
1400000US06037119341,6037119341,2022,2750,428,15.563637,1457,52.981819
1400000US06037119342,6037119342,2022,2841,398,14.009151,868,30.552622
1400000US06037119400,6037119400,2022,5061,529,10.452479,1872,36.988739
1400000US06037119700,6037119700,2022,4127,181,4.3857522,951,23.043373
1400000US06037119801,6037119801,2022,2551,146,5.7232456,635,24.892199
1400000US06037119802,6037119802,2022,3170,402,12.681388,1284,40.50473
1400000US06037119900,6037119900,2022,4502,135,2.9986672,1446,32.119057
1400000US06037120010,6037120010,2022,2675,216,8.0747662,1084,40.523365
1400000US06037120020,6037120020,2022,4273,834,19.517902,2524,59.068569
1400000US06037120030,6037120030,2022,2614,900,34.429993,1782,68.171387
1400000US06037120103,6037120103,2022,3030,1551,51.188118,2238,73.861389
1400000US06037120104,6037120104,2022,2375,592,24.926315,1242,52.294735
1400000US06037120105,6037120105,2022,2691,621,23.076923,1313,48.792271
1400000US06037120106,6037120106,2022,4335,1159,26.73587,2870,66.205307
1400000US06037120107,6037120107,2022,4044,1277,31.577646,2924,72.304649
1400000US06037120108,6037120108,2022,4479,960,21.433355,2001,44.675152
1400000US06037120300,6037120300,2022,5259,879,16.714205,1829,34.778477
1400000US06037120400,6037120400,2022,6000,645,10.75,2425,40.416668
1400000US06037121010,6037121010,2022,5232,358,6.8425078,1495,28.57416
1400000US06037121020,6037121020,2022,3627,553,15.24676,1338,36.889992
1400000US06037121101,6037121101,2022,3191,357,11.187716,1027,32.184269
1400000US06037121102,6037121102,2022,2260,150,6.6371679,754,33.362831
1400000US06037121210,6037121210,2022,2773,262,9.4482508,972,35.052288
1400000US06037121221,6037121221,2022,2225,226,10.157304,540,24.269663
1400000US06037121222,6037121222,2022,4822,769,15.94774,1645,34.114475
1400000US06037121600,6037121600,2022,2624,351,13.376524,677,25.800304
1400000US06037121801,6037121801,2022,3864,508,13.146998,2125,54.994823
1400000US06037121802,6037121802,2022,2986,635,21.265907,1421,47.588749
1400000US06037121900,6037121900,2022,3285,491,14.946728,961,29.254187
1400000US06037122000,6037122000,2022,5034,402,7.9856973,1144,22.725468
1400000US06037122120,6037122120,2022,4659,605,12.98562,1886,40.480789
1400000US06037122121,6037122121,2022,2843,625,21.98382,1405,49.419628
1400000US06037122122,6037122122,2022,2507,728,29.038692,1747,69.684883
1400000US06037122200,6037122200,2022,3883,353,9.090909,1532,39.454029
1400000US06037122410,6037122410,2022,3821,677,17.717875,1392,36.430252
1400000US06037122420,6037122420,2022,5064,937,18.50316,2070,40.876778
1400000US06037123010,6037123010,2022,3908,873,22.338793,2372,60.696007
1400000US06037123020,6037123020,2022,2619,167,6.3764796,714,27.262314
1400000US06037123103,6037123103,2022,3899,574,14.721724,860,22.056938
1400000US06037123104,6037123104,2022,4325,825,19.075144,1663,38.450867
1400000US06037123203,6037123203,2022,2982,716,24.010731,1693,56.773975
1400000US06037123204,6037123204,2022,3378,843,24.955595,1370,40.556541
1400000US06037123205,6037123205,2022,2935,1007,34.310051,1791,61.022148
1400000US06037123206,6037123206,2022,2371,640,26.99283,1289,54.365246
1400000US06037123301,6037123301,2022,4036,384,9.5143709,1077,26.684837
1400000US06037123303,6037123303,2022,3029,549,18.124794,1171,38.659622
1400000US06037123304,6037123304,2022,4499,1094,24.316515,1827,40.609024
1400000US06037123410,6037123410,2022,3412,795,23.300117,1325,38.83353
1400000US06037123420,6037123420,2022,4401,1091,24.78982,1907,43.331062
1400000US06037123510,6037123510,2022,4782,1168,24.424927,2382,49.811794
1400000US06037123520,6037123520,2022,2619,637,24.32226,1435,54.791904
1400000US06037123601,6037123601,2022,5024,786,15.644904,1730,34.434715
1400000US06037123602,6037123602,2022,3164,852,26.927938,1369,43.268017
1400000US06037123700,6037123700,2022,4214,676,16.041765,1152,27.337446
1400000US06037123800,6037123800,2022,5692,600,10.54111,1656,29.093464
1400000US06037123901,6037123901,2022,3982,1079,27.096935,2046,51.381214
1400000US06037123902,6037123902,2022,2668,636,23.838081,782,29.310345
1400000US06037124000,6037124000,2022,4432,631,14.237365,1557,35.130867
1400000US06037124102,6037124102,2022,3635,891,24.511692,1510,41.540577
1400000US06037124103,6037124103,2022,1811,245,13.528438,889,49.088902
1400000US06037124104,6037124104,2022,2732,582,21.303074,1342,49.121521
1400000US06037124105,6037124105,2022,2250,195,8.666667,646,28.711111
1400000US06037124201,6037124201,2022,3837,388,10.112066,1013,26.400833
1400000US06037124203,6037124203,2022,2003,218,10.883675,584,29.156265
1400000US06037124204,6037124204,2022,2275,623,27.384615,1217,53.494507
1400000US06037124300,6037124300,2022,2913,212,7.2777205,826,28.355648
1400000US06037124400,6037124400,2022,4507,399,8.8528957,977,21.677391
1400000US06037124500,6037124500,2022,2695,413,15.324676,1018,37.773655
1400000US06037124600,6037124600,2022,2607,187,7.1729956,329,12.619869
1400000US06037124700,6037124700,2022,5279,443,8.3917408,1125,21.310854
1400000US06037124902,6037124902,2022,3290,437,13.282675,1255,38.145897
1400000US06037124903,6037124903,2022,3538,827,23.374788,1420,40.13567
1400000US06037125101,6037125101,2022,3978,482,12.116642,1035,26.018099
1400000US06037125102,6037125102,2022,1948,170,8.7268991,179,9.1889114
1400000US06037125200,6037125200,2022,3889,417,10.72255,794,20.416559
1400000US06037125310,6037125310,2022,3555,659,18.537271,1009,28.382559
1400000US06037125321,6037125321,2022,2761,504,18.254255,1126,40.782326
1400000US06037125322,6037125322,2022,1981,613,30.943968,953,48.107018
1400000US06037125402,6037125402,2022,4403,379,8.6077671,1031,23.415854
1400000US06037125403,6037125403,2022,2571,328,12.757682,817,31.777519
1400000US06037125404,6037125404,2022,2886,462,16.008316,736,25.502426
1400000US06037125501,6037125501,2022,2871,527,18.355974,1025,35.701847
1400000US06037125502,6037125502,2022,3624,660,18.21192,1009,27.842163
1400000US06037125600,6037125600,2022,2941,239,8.1264877,427,14.518871
1400000US06037127102,6037127102,2022,4951,1264,25.530195,2243,45.303978
1400000US06037127103,6037127103,2022,3360,297,8.8392859,1419,42.232143
1400000US06037127104,6037127104,2022,4303,855,19.869858,2805,65.18708
1400000US06037127210,6037127210,2022,5617,616,10.966708,2154,38.347874
1400000US06037127220,6037127220,2022,5219,1058,20.272083,2477,47.461201
1400000US06037127300,6037127300,2022,3819,322,8.4315262,1225,32.076458
1400000US06037127400,6037127400,2022,5854,883,15.083703,2536,43.320805
1400000US06037127520,6037127520,2022,4722,1304,27.615417,3078,65.184242
1400000US06037127603,6037127603,2022,2788,627,22.489239,1499,53.76614
1400000US06037127604,6037127604,2022,3131,795,25.391249,1267,40.466305
1400000US06037127605,6037127605,2022,3734,874,23.406534,1596,42.742367
1400000US06037127606,6037127606,2022,3110,777,24.983923,1381,44.405144
1400000US06037127711,6037127711,2022,3207,552,17.212349,1048,32.678516
1400000US06037127712,6037127712,2022,3846,936,24.336973,1535,39.911598
1400000US06037127803,6037127803,2022,4984,1086,21.789726,1836,36.837883
1400000US06037127804,6037127804,2022,4723,505,10.692356,1493,31.611263
1400000US06037127805,6037127805,2022,3239,665,20.531029,1500,46.310589
1400000US06037127806,6037127806,2022,3576,532,14.876958,1052,29.418344
1400000US06037127910,6037127910,2022,4758,1299,27.301388,2566,53.930222
1400000US06037127920,6037127920,2022,4622,906,19.601904,1508,32.626568
1400000US06037128101,6037128101,2022,2862,319,11.146051,813,28.406708
1400000US06037128102,6037128102,2022,4725,622,13.164021,1730,36.613758
1400000US06037128210,6037128210,2022,5352,1544,28.849028,3019,56.408817
