geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count
1400000US06037123420,6037123420,2023,1284,1193,92.910004,1165,28
1400000US06037123510,6037123510,2023,672,626,93.150002,614,12
1400000US06037123601,6037123601,2023,1804,1606,89.019997,1526,80
1400000US06037123602,6037123602,2023,577,544,94.279999,528,16
1400000US06037123700,6037123700,2023,628,525,83.599998,477,48
1400000US06037123901,6037123901,2023,1626,1497,92.07,1432,65
1400000US06037124102,6037124102,2023,612,547,89.379997,528,19
1400000US06037124201,6037124201,2023,583,555,95.199997,536,19
1400000US06037124300,6037124300,2023,262,247,94.269997,240,7
1400000US06037124600,6037124600,2023,1329,596,44.849998,561,35
1400000US06037124700,6037124700,2023,369,136,36.860001,131,5
1400000US06037124902,6037124902,2023,318,253,79.559998,237,16
1400000US06037125101,6037125101,2023,2761,1804,65.339996,1674,130
1400000US06037125102,6037125102,2023,686,171,24.93,161,10
1400000US06037125310,6037125310,2023,989,653,66.029999,618,35
1400000US06037125322,6037125322,2023,300,269,89.669998,266,3
1400000US06037125600,6037125600,2023,458,304,66.379997,284,20
1400000US06037127210,6037127210,2023,2421,2090,86.330002,2041,49
1400000US06037127400,6037127400,2023,452,425,94.029999,413,12
1400000US06037127603,6037127603,2023,571,550,96.32,521,29
1400000US06037127803,6037127803,2023,228,156,68.419998,148,8
1400000US06037127805,6037127805,2023,419,398,94.989998,385,13
1400000US06037127806,6037127806,2023,2324,1959,84.290001,1864,95
1400000US06037127910,6037127910,2023,859,653,76.019997,608,45
1400000US06037127920,6037127920,2023,611,571,93.449997,552,19
1400000US06037128102,6037128102,2023,733,651,88.809998,620,31
1400000US06037128302,6037128302,2023,616,587,95.290001,574,13
1400000US06037128602,6037128602,2023,381,200,52.490002,182,18
1400000US06037128802,6037128802,2023,1919,1312,68.370003,1229,83
1400000US06037128910,6037128910,2023,139,69,49.639999,68,1
1400000US06037131022,6037131022,2023,353,334,94.620003,327,7
1400000US06037131023,6037131023,2023,367,324,88.279999,313,11
1400000US06037131100,6037131100,2023,402,294,73.129997,270,24
1400000US06037131200,6037131200,2023,345,252,73.040001,225,27
1400000US06037131300,6037131300,2023,346,332,95.949997,329,3
1400000US06037131600,6037131600,2023,3050,2152,70.559998,2008,144
1400000US06037131701,6037131701,2023,51,32,62.75,30,2
1400000US06037131801,6037131801,2023,980,819,83.57,762,57
1400000US06037131900,6037131900,2023,267,240,89.889999,222,18
1400000US06037132001,6037132001,2023,331,285,86.099998,258,27
1400000US06037132002,6037132002,2023,5986,4949,82.68,4468,481
1400000US06037132301,6037132301,2023,281,255,90.75,239,16
1400000US06037132501,6037132501,2023,3,2,66.669998,2,0
1400000US06037132700,6037132700,2023,1916,1676,87.470001,1606,70
1400000US06037133000,6037133000,2023,629,384,61.049999,362,22
1400000US06037133101,6037133101,2023,375,338,90.129997,329,9
